"";"dm";"data_2019";"valor_2019";"acumulado_2019";"data_2020";"valor_2020";"acumulado_2020";"data_2021";"valor_2021";"acumulado_2021";"data_2022";"valor_2022";"acumulado_2022";"variacao22_21"
"160";"9/6";2019-06-09;0;473671107,13;2020-06-09;7126771,47;462119409,14;2021-06-09;7305517,11;535004726,28;2022-06-09;7870346,75;711028288,89;32,9013098321446
"161";"10/6";2019-06-10;15503556,84;489174663,97;2020-06-10;14315539,32;476434948,46;2021-06-10;21759647,38;556764373,66;2022-06-10;35914209,73;746942498,62;34,1577396035286
"162";"11/6";2019-06-11;17623,2;489192287,17;2020-06-11;0;476434948,46;2021-06-11;9252,6;556773626,26;2022-06-11;0;746942498,62;34,1555101374711
"163";"12/6";2019-06-12;168109,11;489360396,28;2020-06-12;230427,6;476665376,06;2021-06-12;0;556773626,26;2022-06-12;0;746942498,62;34,1555101374711
"164";"13/6";2019-06-13;129375,7;489489771,98;2020-06-13;0;476665376,06;2021-06-13;0;556773626,26;2022-06-13;83501,31;747025999,93;34,1705074911642
"165";"14/6";2019-06-14;30273,18;489520045,16;2020-06-14;0;476665376,06;2021-06-14;542252,06;557315878,32;2022-06-14;134531,9;747160531,83;34,0641027638181
"166";"15/6";2019-06-15;0;489520045,16;2020-06-15;140231,6;476805607,66;2021-06-15;111069,63;557426947,95;2022-06-15;350447,17;747510979;34,1002586525562
"167";"16/6";2019-06-16;0;489520045,16;2020-06-16;77179,42;476882787,08;2021-06-16;17222,04;557444169,99;2022-06-16;0;747510979;34,096115672608
"168";"17/6";2019-06-17;56518,76;489576563,92;2020-06-17;42689,72;476925476,8;2021-06-17;48878,89;557493048,88;2022-06-17;558867,8;748069846,8;34,1846052256378
"169";"18/6";2019-06-18;690485,58;490267049,5;2020-06-18;560380,82;477485857,62;2021-06-18;561288,17;558054337,05;2022-06-18;0;748069846,8;34,0496430427303
"170";"19/6";2019-06-19;68327,22;490335376,72;2020-06-19;80030,41;477565888,03;2021-06-19;0;558054337,05;2022-06-19;0;748069846,8;34,0496430427303
"171";"20/6";2019-06-20;0;490335376,72;2020-06-20;0;477565888,03;2021-06-20;0;558054337,05;2022-06-20;1485953,51;749555800,31;34,3159170256287
"172";"21/6";2019-06-21;691997,94;491027374,66;2020-06-21;0;477565888,03;2021-06-21;140387,12;558194724,17;2022-06-21;53001,3;749608801,61;34,2916314238943
"173";"22/6";2019-06-22;0;491027374,66;2020-06-22;214192,12;477780080,15;2021-06-22;57766,25;558252490,42;2022-06-22;50866,34;749659667,95;34,2868470476496
"174";"23/6";2019-06-23;0;491027374,66;2020-06-23;18495,57;477798575,72;2021-06-23;1634,42;558254124,84;2022-06-23;185009,46;749844677,41;34,3195946156083
"175";"24/6";2019-06-24;189912,38;491217287,04;2020-06-24;119364,96;477917940,68;2021-06-24;29993,67;558284118,51;2022-06-24;58659,51;749903336,92;34,3228854371518
"176";"25/6";2019-06-25;5257165,53;496474452,57;2020-06-25;4506225,88;482424166,56;2021-06-25;4454681,5;562738800,01;2022-06-25;0;749903336,92;33,2595756515588
"177";"26/6";2019-06-26;23946435,21;520420887,78;2020-06-26;18649542,61;501073709,17;2021-06-26;0;562738800,01;2022-06-26;0;749903336,92;33,2595756515588
"178";"27/6";2019-06-27;246523,54;520667411,32;2020-06-27;0;501073709,17;2021-06-27;0;562738800,01;2022-06-27;10679754,11;760583091,03;35,1573929177239
"179";"28/6";2019-06-28;342291,68;521009703;2020-06-28;0;501073709,17;2021-06-28;26209593,58;588948393,59;2022-06-28;19800653,99;780383745,02;32,5046054142511
"180";"29/6";2019-06-29;0;521009703;2020-06-29;94548,35;501168257,52;2021-06-29;125943,79;589074337,38;2022-06-29;161584,28;780545329,3;32,5037061997298
"181";"30/6";2019-06-30;0;521009703;2020-06-30;595539,08;501763796,6;2021-06-30;534933,78;589609271,16;2022-06-30;367234,79;780912564,09;32,445774224959
"182";"1/7";2019-07-01;85744,59;521095447,59;2020-07-01;150363,21;501914159,81;2021-07-01;207457,05;589816728,21;2022-07-01;25397,2;780937961,29;32,4034948381377
"183";"2/7";2019-07-02;9270,93;521104718,52;2020-07-02;182283,38;502096443,19;2021-07-02;1477389,74;591294117,95;2022-07-02;0;780937961,29;32,0726754389998
"184";"3/7";2019-07-03;72840,82;521177559,34;2020-07-03;4051584,68;506148027,87;2021-07-03;0;591294117,95;2022-07-03;0;780937961,29;32,0726754389998
"185";"4/7";2019-07-04;310578,89;521488138,23;2020-07-04;0;506148027,87;2021-07-04;0;591294117,95;2022-07-04;1800514,89;782738476,18;32,3771795487721
"186";"5/7";2019-07-05;21210237,49;542698375,72;2020-07-05;0;506148027,87;2021-07-05;28048965,42;619343083,37;2022-07-05;16938864,74;799677340,92;29,1170213072787
"187";"6/7";2019-07-06;0;542698375,72;2020-07-06;15363496,72;521511524,59;2021-07-06;73584,73;619416668,1;2022-07-06;346578,18;800023919,1;29,1576349654902
"188";"7/7";2019-07-07;0;542698375,72;2020-07-07;646156,69;522157681,28;2021-07-07;296303,58;619712971,68;2022-07-07;353693,68;800377612,78;29,1529545702796
"189";"8/7";2019-07-08;14571711,9;557270087,62;2020-07-08;13096099,09;535253780,37;2021-07-08;21873728,66;641586700,34;2022-07-08;15668711,36;816046324,14;27,1919015321776
"190";"9/7";2019-07-09;1398505,41;558668593,03;2020-07-09;4527827,72;539781608,09;2021-07-09;1770679,36;643357379,7;2022-07-09;0;816046324,14;26,8418378165687
"191";"10/7";2019-07-10;13844034,73;572512627,76;2020-07-10;13908956,53;553690564,62;2021-07-10;0;643357379,7;2022-07-10;0;816046324,14;26,8418378165687
"192";"11/7";2019-07-11;180898,74;572693526,5;2020-07-11;0;553690564,62;2021-07-11;0;643357379,7;2022-07-11;20510911,58;836557235,72;30,0299432502181
"193";"12/7";2019-07-12;420039,81;573113566,31;2020-07-12;0;553690564,62;2021-07-12;25860274,9;669217654,6;2022-07-12;344832,15;836902067,87;25,0567826651595
"194";"13/7";2019-07-13;0;573113566,31;2020-07-13;394986,24;554085550,86;2021-07-13;17987,71;669235642,31;2022-07-13;17636,64;836919704,51;25,0560567308108
"195";"14/7";2019-07-14;0;573113566,31;2020-07-14;54224,3;554139775,16;2021-07-14;235356,72;669470999,03;2022-07-14;127584,94;837047289,45;25,0311500666649
"196";"15/7";2019-07-15;244367,6;573357933,91;2020-07-15;156176,58;554295951,74;2021-07-15;93096,57;669564095,6;2022-07-15;142508,09;837189797,54;25,0350493763842
"197";"16/7";2019-07-16;38880,13;573396814,04;2020-07-16;29320,29;554325272,03;2021-07-16;43881,38;669607976,98;2022-07-16;0;837189797,54;25,0268554618795
"198";"17/7";2019-07-17;34622,69;573431436,73;2020-07-17;588872,69;554914144,72;2021-07-17;0;669607976,98;2022-07-17;0;837189797,54;25,0268554618795
"199";"18/7";2019-07-18;485795,03;573917231,76;2020-07-18;0;554914144,72;2021-07-18;0;669607976,98;2022-07-18;487060,44;837676857,98;25,099593609683
"200";"19/7";2019-07-19;87109,5;574004341,26;2020-07-19;0;554914144,72;2021-07-19;579554,83;670187531,81;2022-07-19;10712,99;837687570,97;24,993010345571
"201";"20/7";2019-07-20;0;574004341,26;2020-07-20;282772,56;555196917,28;2021-07-20;205029,91;670392561,72;2022-07-20;1747950,69;839435521,66;25,2155184279332
"202";"21/7";2019-07-21;0;574004341,26;2020-07-21;271684,3;555468601,58;2021-07-21;13055,2;670405616,92;2022-07-21;83514,71;839519036,37;25,2255373734705
"203";"22/7";2019-07-22;1063326,51;575067667,77;2020-07-22;319694,24;555788295,82;2021-07-22;46083,61;670451700,53;2022-07-22;34867,81;839553904,18;25,2221306197483
"204";"23/7";2019-07-23;164387,36;575232055,13;2020-07-23;102256,54;555890552,36;2021-07-23;273228,94;670724929,47;2022-07-23;0;839553904,18;25,1711196784361
"205";"24/7";2019-07-24;222432,22;575454487,35;2020-07-24;4694065,5;560584617,86;2021-07-24;0;670724929,47;2022-07-24;0;839553904,18;25,1711196784361
"206";"25/7";2019-07-25;4806928,77;580261416,12;2020-07-25;0;560584617,86;2021-07-25;0;670724929,47;2022-07-25;1875153,23;841429057,41;25,4506908032908
"207";"26/7";2019-07-26;13198,12;580274614,24;2020-07-26;0;560584617,86;2021-07-26;5061072,31;675786001,78;2022-07-26;6863981,47;848293038,88;25,526873395664
"208";"27/7";2019-07-27;0;580274614,24;2020-07-27;105163,27;560689781,13;2021-07-27;50092,66;675836094,44;2022-07-27;71776,32;848364815,2;25,5281897755043
"209";"28/7";2019-07-28;0;580274614,24;2020-07-28;1882143,5;562571924,63;2021-07-28;30305049,34;706141143,78;2022-07-28;120366,28;848485181,48;20,1580150022171
"210";"29/7";2019-07-29;14504923,02;594779537,26;2020-07-29;20935078,64;583507003,27;2021-07-29;5470800,93;711611944,71;2022-07-29;473707,67;848958889,15;19,3008205470711
"211";"30/7";2019-07-30;128943;594908480,26;2020-07-30;475447,71;583982450,98;2021-07-30;441083,25;712053027,96;2022-07-30;0;848958889,15;19,2269193183869
"212";"31/7";2019-07-31;257324,93;595165805,19;2020-07-31;210550,92;584193001,9;2021-07-31;0;712053027,96;2022-07-31;0;848958889,15;19,2269193183869
"213";"1/8";2019-08-01;30063,56;595195868,75;2020-08-01;0;584193001,9;2021-08-01;0;712053027,96;2022-08-01;38042,79;848996931,94;19,2322620089599
"214";"2/8";2019-08-02;132540,91;595328409,66;2020-08-02;0;584193001,9;2021-08-02;20599,46;712073627,42;2022-08-02;26527,59;849023459,53;19,2325381584766
"215";"3/8";2019-08-03;0;595328409,66;2020-08-03;90199,65;584283201,55;2021-08-03;19085,03;712092712,45;2022-08-03;34627,44;849058086,97;19,2342053394651
"216";"4/8";2019-08-04;0;595328409,66;2020-08-04;574985,14;584858186,69;2021-08-04;2358534,67;714451247,12;2022-08-04;334264,85;849392351,82;18,8873775843987
"217";"5/8";2019-08-05;17360855,84;612689265,5;2020-08-05;26749767,86;611607954,55;2021-08-05;28628486,96;743079734,08;2022-08-05;9710628,27;859102980,09;15,6138353246368
"218";"6/8";2019-08-06;646702,43;613335967,93;2020-08-06;3309754,48;614917709,03;2021-08-06;12769611,17;755849345,25;2022-08-06;0;859102980,09;13,6606104760001
"219";"7/8";2019-08-07;7130778,53;620466746,46;2020-08-07;9852804,36;624770513,39;2021-08-07;0;755849345,25;2022-08-07;0;859102980,09;13,6606104760001
"220";"8/8";2019-08-08;1997193,35;622463939,81;2020-08-08;0;624770513,39;2021-08-08;0;755849345,25;2022-08-08;517636,19;859620616,28;13,7290945189186
"221";"9/8";2019-08-09;6551021,66;629014961,47;2020-08-09;0;624770513,39;2021-08-09;7249196,05;763098541,3;2022-08-09;6524098,11;866144714,39;13,5036522169801
"222";"10/8";2019-08-10;0;629014961,47;2020-08-10;21057514,65;645828028,04;2021-08-10;29265581,94;792364123,24;2022-08-10;6547952,72;872692667,11;10,1378320287312
"223";"11/8";2019-08-11;0;629014961,47;2020-08-11;325879,62;646153907,66;2021-08-11;58424,27;792422547,51;2022-08-11;65033,92;872757701,03;10,137918686493
"224";"12/8";2019-08-12;9912575,96;638927537,43;2020-08-12;373002,16;646526909,82;2021-08-12;46165,21;792468712,72;2022-08-12;75585,12;872833286,15;10,1410405407885
"225";"13/8";2019-08-13;111859,11;639039396,54;2020-08-13;165431,59;646692341,41;2021-08-13;66368,2;792535080,92;2022-08-13;0;872833286,15;10,1318171476759
"226";"14/8";2019-08-14;22896,15;639062292,69;2020-08-14;116245,34;646808586,75;2021-08-14;0;792535080,92;2022-08-14;0;872833286,15;10,1318171476759
"227";"15/8";2019-08-15;129654,32;639191947,01;2020-08-15;0;646808586,75;2021-08-15;0;792535080,92;2022-08-15;78367,56;872911653,71;10,141705361067
"228";"16/8";2019-08-16;435005,99;639626953;2020-08-16;0;646808586,75;2021-08-16;113225,49;792648306,41;2022-08-16;56184,67;872967838,38;10,1330604406104
"229";"17/8";2019-08-17;0;639626953;2020-08-17;150538,76;646959125,51;2021-08-17;6238,32;792654544,73;2022-08-17;35983,75;873003822,13;10,1367333265425
"230";"18/8";2019-08-18;0;639626953;2020-08-18;618342,32;647577467,83;2021-08-18;727995,87;793382540,6;2022-08-18;867576,04;873871398,17;10,1450250605628
"231";"19/8";2019-08-19;694184,11;640321137,11;2020-08-19;55904,39;647633372,22;2021-08-19;25045,37;793407585,97;2022-08-19;60687,84;873932086,01;10,1491971420405
"232";"20/8";2019-08-20;905216,45;641226353,56;2020-08-20;229453,63;647862825,85;2021-08-20;178013,26;793585599,23;2022-08-20;0;873932086,01;10,124489010128
"233";"21/8";2019-08-21;50698,7;641277052,26;2020-08-21;20428,88;647883254,73;2021-08-21;0;793585599,23;2022-08-21;0;873932086,01;10,124489010128
"234";"22/8";2019-08-22;289086,03;641566138,29;2020-08-22;0;647883254,73;2021-08-22;0;793585599,23;2022-08-22;144387,44;874076473,45;10,1426833221392
"235";"23/8";2019-08-23;27900,94;641594039,23;2020-08-23;0;647883254,73;2021-08-23;39162,64;793624761,87;2022-08-23;34608,85;874111082,3;10,1416090194
"236";"24/8";2019-08-24;0;641594039,23;2020-08-24;51639,42;647934894,15;2021-08-24;204234,83;793828996,7;2022-08-24;130461,77;874241544,07;10,1297064864449
"237";"25/8";2019-08-25;0;641594039,23;2020-08-25;4520465,96;652455360,11;2021-08-25;4472467,6;798301464,3;2022-08-25;1110602,98;875352147,05;9,65182781138488
"238";"26/8";2019-08-26;4239461,4;645833500,63;2020-08-26;53624,28;652508984,39;2021-08-26;111509,72;798412974,02;2022-08-26;8870,51;875361017,56;9,63762439287122
"239";"27/8";2019-08-27;194929,31;646028429,94;2020-08-27;21254289,64;673763274,03;2021-08-27;39016363,21;837429337,23;2022-08-27;0;875361017,56;4,52953803307969
"240";"28/8";2019-08-28;14413137,23;660441567,17;2020-08-28;4555123,27;678318397,3;2021-08-28;0;837429337,23;2022-08-28;0;875361017,56;4,52953803307969
"241";"29/8";2019-08-29;306691,21;660748258,38;2020-08-29;0;678318397,3;2021-08-29;0;837429337,23;2022-08-29;22948,82;875383966,38;4,5322784219077
"242";"30/8";2019-08-30;286579,53;661034837,91;2020-08-30;0;678318397,3;2021-08-30;248771,46;837678108,69;2022-08-30;285141,86;875669108,24;4,53527424865048
"243";"31/8";2019-08-31;0;661034837,91;2020-08-31;283601,04;678601998,34;2021-08-31;405475,26;838083583,95;2022-08-31;733403,42;876402511,66;4,57220836248787
"244";"1/9";2019-09-01;0;661034837,91;2020-09-01;37628,25;678639626,59;2021-09-01;123231,89;838206815,84;2022-09-01;1929,6;876404441,26;4,55706452132826
"245";"2/9";2019-09-02;88760,25;661123598,16;2020-09-02;53818,49;678693445,08;2021-09-02;248402,43;838455218,27;2022-09-02;63087,98;876467529,24;4,53361254622895
"246";"3/9";2019-09-03;43376,13;661166974,29;2020-09-03;722457,14;679415902,22;2021-09-03;8759709,58;847214927,85;2022-09-03;0;876467529,24;3,45279579341633
"247";"4/9";2019-09-04;194807,94;661361782,23;2020-09-04;13427188,33;692843090,55;2021-09-04;0;847214927,85;2022-09-04;0;876467529,24;3,45279579341633
"248";"5/9";2019-09-05;22955300,3;684317082,53;2020-09-05;0;692843090,55;2021-09-05;0;847214927,85;2022-09-05;10059445,05;886526974,29;4,64015035001368
"249";"6/9";2019-09-06;10787783,73;695104866,26;2020-09-06;0;692843090,55;2021-09-06;21871470,65;869086398,5;2022-09-06;57341,21;886584315,5;2,0133691000343
"250";"7/9";2019-09-07;0;695104866,26;2020-09-07;0;692843090,55;2021-09-07;0;869086398,5;2022-09-07;0;886584315,5;2,0133691000343
"251";"8/9";2019-09-08;0;695104866,26;2020-09-08;19744525,85;712587616,4;2021-09-08;17704523,84;886790922,34;2022-09-08;573038,32;887157353,82;0,041321067995724
"252";"9/9";2019-09-09;7548177;702653043,26;2020-09-09;9096504,49;721684120,89;2021-09-09;8077337,88;894868260,22;2022-09-09;7257274,03;894414627,85;-0,050692642723576
"253";"10/9";2019-09-10;12433118,09;715086161,35;2020-09-10;16236859,4;737920980,29;2021-09-10;26874395,08;921742655,3;2022-09-10;0;894414627,85;-2,96482182883307
"254";"11/9";2019-09-11;44449,74;715130611,09;2020-09-11;132179,28;738053159,57;2021-09-11;0;921742655,3;2022-09-11;0;894414627,85;-2,96482182883307
"255";"12/9";2019-09-12;418661,53;715549272,62;2020-09-12;0;738053159,57;2021-09-12;0;921742655,3;2022-09-12;5935565,97;900350193,82;-2,32087137955412
"256";"13/9";2019-09-13;3448160,25;718997432,87;2020-09-13;0;738053159,57;2021-09-13;139605,72;921882261,02;2022-09-13;47329,32;900397523,14;-2,33052948173974
"257";"14/9";2019-09-14;0;718997432,87;2020-09-14;209529,87;738262689,44;2021-09-14;83148,31;921965409,33;2022-09-14;74879,17;900472402,31;-2,33121620426293
"258";"15/9";2019-09-15;0;718997432,87;2020-09-15;286469,99;738549159,43;2021-09-15;176971,24;922142380,57;2022-09-15;76360,46;900548762,77;-2,34167936047495
"259";"16/9";2019-09-16;88358,88;719085791,75;2020-09-16;344000,45;738893159,88;2021-09-16;75636,98;922218017,55;2022-09-16;27382,43;900576145,2;-2,34671974935976
"260";"17/9";2019-09-17;37746,77;719123538,52;2020-09-17;309460,99;739202620,87;2021-09-17;750745,55;922968763,1;2022-09-17;0;900576145,2;-2,42615121933155
"261";"18/9";2019-09-18;580209,74;719703748,26;2020-09-18;627843,58;739830464,45;2021-09-18;0;922968763,1;2022-09-18;0;900576145,2;-2,42615121933155
"262";"19/9";2019-09-19;19604,72;719723352,98;2020-09-19;0;739830464,45;2021-09-19;0;922968763,1;2022-09-19;108346,71;900684491,91;-2,41441228359162
"263";"20/9";2019-09-20;1392625,04;721115978,02;2020-09-20;0;739830464,45;2021-09-20;211824,39;923180587,49;2022-09-20;208928,23;900893420,14;-2,41417201054842
"264";"21/9";2019-09-21;0;721115978,02;2020-09-21;1222856,97;741053321,42;2021-09-21;165935,09;923346522,58;2022-09-21;97009,93;900990430,07;-2,42120287056835
"265";"22/9";2019-09-22;0;721115978,02;2020-09-22;40819,74;741094141,16;2021-09-22;125296,8;923471819,38;2022-09-22;11285,1;901001715,17;-2,43322034722033
"266";"23/9";2019-09-23;59453,49;721175431,51;2020-09-23;59277,48;741153418,64;2021-09-23;45229,25;923517048,63;2022-09-23;26008,27;901027723,44;-2,43518246072034
"267";"24/9";2019-09-24;151235,7;721326667,21;2020-09-24;150123,51;741303542,15;2021-09-24;55426,93;923572475,56;2022-09-24;0;901027723,44;-2,44103767886004
"268";"25/9";2019-09-25;4864481,78;726191148,99;2020-09-25;9245186,46;750548728,61;2021-09-25;0;923572475,56;2022-09-25;0;901027723,44;-2,44103767886004
"269";"26/9";2019-09-26;24546109,53;750737258,52;2020-09-26;0;750548728,61;2021-09-26;0;923572475,56;2022-09-26;164580,07;901192303,51;-2,42321773788571
"270";"27/9";2019-09-27;651472,78;751388731,3;2020-09-27;0;750548728,61;2021-09-27;4866824,11;928439299,67;2022-09-27;2835,98;901195139,49;-2,93440402508634
"271";"28/9";2019-09-28;0;751388731,3;2020-09-28;21437306,18;771986034,79;2021-09-28;36389747,3;964829046,97;2022-09-28;26344,32;901221483,81;-6,59262522824707
"272";"29/9";2019-09-29;0;751388731,3;2020-09-29;101660,22;772087695,01;2021-09-29;323541,75;965152588,72;2022-09-29;54631,69;901276115,5;-6,61827714773205
"273";"30/9";2019-09-30;366543,67;751755274,97;2020-09-30;445114,17;772532809,18;2021-09-30;314980,53;965467569,25;2022-09-30;408033,33;901684148,83;-6,60647984991858
"274";"1/10";2019-10-01;25884,31;751781159,28;2020-10-01;13774,13;772546583,31;2021-10-01;29805,97;965497375,22;2022-10-01;0;901684148,83;-6,60936301100346
"275";"2/10";2019-10-02;26698,56;751807857,84;2020-10-02;120827,61;772667410,92;2021-10-02;0;965497375,22;2022-10-02;0;901684148,83;-6,60936301100346
"276";"3/10";2019-10-03;90932,98;751898790,82;2020-10-03;0;772667410,92;2021-10-03;0;965497375,22;2022-10-03;16812,31;901700961,14;-6,60762170021055
"277";"4/10";2019-10-04;11282260,83;763181051,65;2020-10-04;0;772667410,92;2021-10-04;167933,63;965665308,85;2022-10-04;761219,36;902462180,5;-6,54503457572354
"278";"5/10";2019-10-05;0;763181051,65;2020-10-05;25974420,53;798641831,45;2021-10-05;32205937,75;997871246,6;2022-10-05;9782076,15;912244256,65;-8,5809657550263
"279";"6/10";2019-10-06;0;763181051,65;2020-10-06;143963,4;798785794,85;2021-10-06;111121,72;997982368,32;2022-10-06;200008,14;912444264,79;-8,57110368332405
"280";"7/10";2019-10-07;14940209,97;778121261,62;2020-10-07;146438,1;798932232,95;2021-10-07;7356334,26;1005338702,58;2022-10-07;2948205;915392469,79;-8,94685866158053
"281";"8/10";2019-10-08;15404275,74;793525537,36;2020-10-08;12394210,43;811326443,38;2021-10-08;15337065,18;1020675767,76;2022-10-08;0;915392469,79;-10,3150580522801
"282";"9/10";2019-10-09;7872217,15;801397754,51;2020-10-09;9817801,95;821144245,33;2021-10-09;0;1020675767,76;2022-10-09;0;915392469,79;-10,3150580522801
"283";"10/10";2019-10-10;11818891,66;813216646,17;2020-10-10;0;821144245,33;2021-10-10;0;1020675767,76;2022-10-10;11302855,07;926695324,86;-9,20766867094844
"284";"11/10";2019-10-11;56747,79;813273393,96;2020-10-11;0;821144245,33;2021-10-11;31194674,56;1051870442,32;2022-10-11;41835,13;926737159,99;-11,8962637693295
"285";"12/10";2019-10-12;0;813273393,96;2020-10-12;0;821144245,33;2021-10-12;0;1051870442,32;2022-10-12;0;926737159,99;-11,8962637693295
"286";"13/10";2019-10-13;0;813273393,96;2020-10-13;15865026,67;837009272;2021-10-13;457174,3;1052327616,62;2022-10-13;108170,96;926845330,95;-11,9242604383072
"287";"14/10";2019-10-14;66685,75;813340079,71;2020-10-14;96387,19;837105659,19;2021-10-14;53660,4;1052381277,02;2022-10-14;177768,88;927023099,83;-11,9118593163281
"288";"15/10";2019-10-15;383255,63;813723335,34;2020-10-15;118489,33;837224148,52;2021-10-15;88026,24;1052469303,26;2022-10-15;0;927023099,83;-11,9192268165383
"289";"16/10";2019-10-16;267342,03;813990677,37;2020-10-16;320446,69;837544595,21;2021-10-16;0;1052469303,26;2022-10-16;0;927023099,83;-11,9192268165383
"290";"17/10";2019-10-17;32230,35;814022907,72;2020-10-17;0;837544595,21;2021-10-17;0;1052469303,26;2022-10-17;65971,38;927089071,21;-11,9129585691134
"291";"18/10";2019-10-18;533338,56;814556246,28;2020-10-18;0;837544595,21;2021-10-18;594911,96;1053064215,22;2022-10-18;71039,68;927160110,89;-11,9559759519221
"292";"19/10";2019-10-19;0;814556246,28;2020-10-19;581291,17;838125886,38;2021-10-19;51628,21;1053115843,43;2022-10-19;32663,4;927192774,29;-11,9571906476944
"293";"20/10";2019-10-20;0;814556246,28;2020-10-20;415329,32;838541215,7;2021-10-20;153587,07;1053269430,5;2022-10-20;169312,57;927362086,86;-11,9539540400627
"294";"21/10";2019-10-21;490277,12;815046523,4;2020-10-21;212251,19;838753466,89;2021-10-21;59768,21;1053329198,71;2022-10-21;26308,5;927388395,36;-11,9564523136963
"295";"22/10";2019-10-22;248956,84;815295480,24;2020-10-22;149190,43;838902657,32;2021-10-22;51557,06;1053380755,77;2022-10-22;0;927388395,36;-11,9607615498825
"296";"23/10";2019-10-23;69479,66;815364959,9;2020-10-23;311782,65;839214439,97;2021-10-23;0;1053380755,77;2022-10-23;0;927388395,36;-11,9607615498825
"297";"24/10";2019-10-24;61206,72;815426166,62;2020-10-24;0;839214439,97;2021-10-24;0;1053380755,77;2022-10-24;42523,66;927430919,02;-11,9567246752987
"298";"25/10";2019-10-25;4594228,48;820020395,1;2020-10-25;0;839214439,97;2021-10-25;1773784,65;1055154540,42;2022-10-25;273084,95;927704003,97;-12,0788502127156
"299";"26/10";2019-10-26;0;820020395,1;2020-10-26;4512537,96;843726977,93;2021-10-26;3044554,86;1058199095,28;2022-10-26;6501,05;927710505,02;-12,3311946534478
"300";"27/10";2019-10-27;0;820020395,1;2020-10-27;60046,73;843787024,66;2021-10-27;38452780,64;1096651875,92;2022-10-27;18176,45;927728681,47;-15,4035385484831
"301";"28/10";2019-10-28;96479,78;820116874,88;2020-10-28;21778125,78;865565150,44;2021-10-28;6594377,37;1103246253,29;2022-10-28;119467,86;927848149,33;-15,8983638908307
"302";"29/10";2019-10-29;26816295,93;846933170,81;2020-10-29;5445132,12;871010282,56;2021-10-29;492494,54;1103738747,83;2022-10-29;0;927848149,33;-15,9358905217207
"303";"30/10";2019-10-30;269228,15;847202398,96;2020-10-30;301427,73;871311710,29;2021-10-30;0;1103738747,83;2022-10-30;0;927848149,33;-15,9358905217207
"304";"31/10";2019-10-31;240426,91;847442825,87;2020-10-31;0;871311710,29;2021-10-31;0;1103738747,83;2022-10-31;141491,29;927989640,62;-15,9230712481129
"305";"1/11";2019-11-01;14209,99;847457035,86;2020-11-01;0;871311710,29;2021-11-01;22052,1;1103760799,93;2022-11-01;87845,74;928077486,36;-15,9167922598032
"306";"2/11";2019-11-02;0;847457035,86;2020-11-02;0;871311710,29;2021-11-02;0;1103760799,93;2022-11-02;0;928077486,36;-15,9167922598032
"307";"3/11";2019-11-03;0;847457035,86;2020-11-03;167835,3;871479545,59;2021-11-03;1730043,98;1105490843,91;2022-11-03;218851,48;928296337,84;-16,0285819684659
"308";"4/11";2019-11-04;652612,6;848109648,46;2020-11-04;1647576,77;873127122,36;2021-11-04;1387261,7;1106878105,61;2022-11-04;2860283,87;931156621,71;-15,8754141950581
"309";"5/11";2019-11-05;27090576,52;875200224,98;2020-11-05;26994841,04;900121963,4;2021-11-05;41710309,93;1148588415,54;2022-11-05;0;931156621,71;-18,9303488428251
"310";"6/11";2019-11-06;2085004,98;877285229,96;2020-11-06;10618051,08;910740014,48;2021-11-06;0;1148588415,54;2022-11-06;0;931156621,71;-18,9303488428251
"311";"7/11";2019-11-07;14270494,13;891555724,09;2020-11-07;0;910740014,48;2021-11-07;0;1148588415,54;2022-11-07;7288252,08;938444873,79;-18,2958089170003
"312";"8/11";2019-11-08;3989290,6;895545014,69;2020-11-08;0;910740014,48;2021-11-08;7091456,17;1155679871,71;2022-11-08;228905,64;938673779,43;-18,7773532785431
"313";"9/11";2019-11-09;0;895545014,69;2020-11-09;10173621,66;920913636,14;2021-11-09;9156750,94;1164836622,65;2022-11-09;5814158,01;944487937,44;-18,9167030745228
"314";"10/11";2019-11-10;0;895545014,69;2020-11-10;18798730,61;939712366,75;2021-11-10;29694636,09;1194531258,74;2022-11-10;7352730,76;951840668,2;-20,3168053380195
"315";"11/11";2019-11-11;16588593;912133607,69;2020-11-11;353901,31;940066268,06;2021-11-11;52257,47;1194583516,21;2022-11-11;29009,37;951869677,57;-20,317862698294
"316";"12/11";2019-11-12;117960,52;912251568,21;2020-11-12;71342,61;940137610,67;2021-11-12;73130,28;1194656646,49;2022-11-12;0;951869677,57;-20,3227403985344
"317";"13/11";2019-11-13;234196,64;912485764,85;2020-11-13;158787,38;940296398,05;2021-11-13;0;1194656646,49;2022-11-13;0;951869677,57;-20,3227403985344
"318";"14/11";2019-11-14;97814,05;912583578,9;2020-11-14;0;940296398,05;2021-11-14;0;1194656646,49;2022-11-14;37015,84;951906693,41;-20,3196419484393
"319";"15/11";2019-11-15;0;912583578,9;2020-11-15;0;940296398,05;2021-11-15;0;1194656646,49;2022-11-15;0;951906693,41;-20,3196419484393
"320";"16/11";2019-11-16;0;912583578,9;2020-11-16;159388,27;940455786,32;2021-11-16;424453,69;1195081100,18;2022-11-16;74275,03;951980968,44;-20,3417267416734
"321";"17/11";2019-11-17;0;912583578,9;2020-11-17;246230,13;940702016,45;2021-11-17;52498,5;1195133598,68;2022-11-17;226938,4;952207906,84;-20,3262373435327
